Name,Programming Languages,Project Interests,Personality Traits
Minh Bullock,"[1, 5, 7]","[8, 2, 10]","[1, 1, 4, 1, 2]"
Richard Tenebruso,"[3, 9, 10]","[10, 3, 3]","[2, 2, 2, 5, 5]"
Lloyd Wessner,"[4, 1, 3]","[9, 8, 9]","[2, 2, 5, 2, 1]"
Diane Ling,"[1, 9, 4]","[8, 7, 4]","[2, 3, 2, 3, 5]"
Esther Billingsley,"[7, 7, 10]","[2, 6, 5]","[3, 3, 2, 3, 2]"
Wilbur Rogers,"[8, 9, 2]","[1, 10, 3]","[5, 1, 2, 2, 1]"
James Porter,"[3, 3, 7]","[9, 4, 5]","[4, 2, 2, 4, 4]"
Diane Gonzales,"[2, 10, 1]","[5, 7, 4]","[3, 5, 1, 4, 3]"
Mervin Varnado,"[2, 3, 5]","[3, 9, 8]","[3, 2, 2, 2, 1]"
Bert Rangel,"[2, 6, 2]","[5, 7, 3]","[4, 3, 1, 2, 5]"
Wanda Russo,"[2, 9, 7]","[2, 7, 6]","[1, 3, 5, 5, 3]"
William Simmons,"[1, 5, 6]","[6, 9, 10]","[1, 4, 2, 4, 3]"
Bryan Castaneda,"[3, 3, 2]","[8, 4, 2]","[2, 3, 1, 2, 3]"
James Davies,"[3, 8, 1]","[7, 9, 9]","[5, 4, 3, 2, 5]"
Scott Bennett,"[5, 1, 9]","[1, 10, 9]","[2, 1, 3, 1, 1]"
Jorge Spier,"[3, 7, 9]","[4, 6, 2]","[4, 3, 1, 3, 4]"
Leonard Miller,"[6, 5, 4]","[7, 8, 2]","[1, 3, 4, 4, 1]"
Michelle Dixon,"[1, 7, 8]","[7, 4, 6]","[4, 2, 5, 3, 3]"
Joshua Graves,"[6, 9, 3]","[7, 1, 1]","[2, 3, 4, 3, 4]"
Karl Diaz,"[4, 8, 10]","[7, 3, 8]","[2, 2, 1, 5, 2]"
Connie Robertshaw,"[10, 1, 7]","[4, 8, 9]","[2, 4, 4, 1, 2]"
Wilfred Eldridge,"[9, 5, 10]","[9, 3, 6]","[2, 3, 3, 4, 1]"
Wesley Robinson,"[6, 4, 9]","[5, 5, 4]","[3, 2, 4, 3, 3]"
Michael Steele,"[10, 6, 7]","[8, 6, 10]","[1, 5, 4, 5, 5]"
Bertram Santiago,"[3, 9, 2]","[1, 8, 7]","[3, 4, 3, 2, 3]"
John Jones,"[9, 5, 6]","[8, 4, 5]","[3, 5, 5, 1, 3]"
Kathy Korth,"[2, 3, 7]","[9, 10, 9]","[3, 2, 5, 4, 2]"
Alberta Diaz,"[6, 7, 6]","[1, 7, 10]","[2, 4, 2, 1, 3]"
Theresa Hutcheson,"[6, 8, 9]","[7, 7, 3]","[1, 3, 1, 3, 5]"
Donna Wills,"[8, 4, 7]","[4, 2, 3]","[2, 3, 1, 5, 1]"
Nina Steakley,"[7, 4, 1]","[2, 5, 10]","[4, 4, 3, 4, 5]"
Tommy Breunig,"[2, 5, 3]","[6, 10, 10]","[3, 5, 4, 5, 1]"
Sherry Brown,"[3, 2, 10]","[2, 6, 7]","[4, 1, 5, 3, 5]"
Phyllis Kendrick,"[7, 7, 6]","[7, 5, 5]","[1, 1, 1, 5, 3]"
Sally Benson,"[6, 9, 8]","[1, 9, 9]","[5, 3, 5, 3, 1]"
Barney Querta,"[7, 3, 5]","[1, 5, 5]","[1, 1, 1, 1, 1]"
Ana Lussier,"[4, 1, 6]","[8, 10, 6]","[4, 4, 4, 4, 5]"
David Workman,"[1, 7, 7]","[4, 9, 10]","[2, 1, 5, 3, 4]"
Gayle Lentz,"[6, 7, 10]","[8, 1, 1]","[4, 2, 1, 2, 4]"
Bradley Vangilder,"[3, 4, 5]","[4, 8, 6]","[5, 2, 4, 4, 5]"
Edith Tyree,"[9, 1, 9]","[3, 5, 4]","[5, 1, 3, 2, 2]"
Garrett Florence,"[8, 1, 8]","[3, 5, 8]","[2, 4, 4, 4, 3]"
Yvette Quinto,"[10, 8, 10]","[4, 7, 3]","[4, 1, 3, 4, 3]"
Michael Phillips,"[1, 6, 2]","[5, 8, 10]","[2, 3, 3, 4, 3]"
Donald Lallo,"[2, 10, 3]","[7, 6, 3]","[1, 4, 3, 5, 2]"
Ignacio Booze,"[7, 7, 7]","[10, 1, 6]","[5, 2, 2, 5, 3]"
Freda Trevino,"[3, 9, 5]","[2, 3, 8]","[2, 4, 3, 2, 3]"
Meredith Burke,"[4, 7, 9]","[10, 7, 9]","[4, 3, 2, 3, 4]"
Rhoda Mccullough,"[5, 4, 5]","[7, 2, 5]","[4, 4, 5, 4, 1]"
John Morris,"[3, 6, 2]","[10, 4, 9]","[1, 2, 5, 4, 2]"
Sandra Piere,"[2, 10, 6]","[9, 2, 2]","[3, 2, 4, 1, 4]"
Carolyn Barger,"[5, 9, 8]","[3, 4, 10]","[5, 5, 3, 4, 1]"
Brian Beckem,"[7, 9, 8]","[1, 10, 8]","[4, 1, 3, 4, 3]"
Dustin Linch,"[10, 6, 8]","[4, 4, 1]","[4, 5, 3, 4, 2]"
Margaret Robertson,"[10, 9, 8]","[8, 5, 1]","[2, 4, 1, 2, 5]"
Roseanne Schmidt,"[1, 7, 4]","[1, 10, 3]","[3, 5, 5, 1, 3]"
John Blach,"[8, 1, 8]","[9, 9, 8]","[4, 3, 1, 2, 2]"
Edward Gray,"[5, 2, 4]","[10, 7, 5]","[1, 3, 4, 3, 4]"
Anna Floyd,"[10, 2, 1]","[3, 8, 4]","[1, 2, 5, 3, 3]"
Thomas Chambers,"[4, 9, 5]","[4, 4, 4]","[1, 2, 1, 1, 5]"
Charity Lester,"[2, 6, 2]","[6, 7, 9]","[3, 5, 3, 4, 3]"
Paul Wales,"[3, 3, 1]","[7, 1, 6]","[2, 4, 2, 5, 4]"
Maria Franks,"[2, 4, 2]","[6, 5, 6]","[3, 5, 1, 3, 2]"
Shawn Scanlon,"[5, 1, 4]","[9, 3, 10]","[4, 2, 2, 5, 5]"
Sharon Ragsdale,"[5, 1, 2]","[1, 10, 7]","[1, 5, 1, 2, 2]"
Gary Dominick,"[9, 7, 3]","[3, 7, 5]","[4, 4, 5, 1, 1]"
Rebecca Macdonald,"[2, 8, 8]","[5, 7, 8]","[2, 2, 3, 3, 2]"
Ruby Sanmartin,"[7, 2, 6]","[6, 3, 2]","[4, 1, 2, 4, 2]"
Brittany Jones,"[3, 2, 8]","[9, 3, 2]","[3, 3, 1, 3, 4]"
Gregory Lippert,"[5, 7, 7]","[8, 5, 3]","[2, 5, 2, 5, 5]"
Edward Fitts,"[4, 9, 4]","[9, 8, 3]","[2, 2, 3, 4, 5]"
Connie Strecker,"[8, 6, 7]","[6, 9, 10]","[3, 2, 1, 3, 1]"
Anthony Smalley,"[3, 3, 4]","[3, 6, 5]","[3, 3, 4, 4, 4]"
Willie Guerrero,"[1, 5, 8]","[8, 7, 2]","[5, 4, 2, 4, 5]"
Araceli Howard,"[8, 6, 10]","[8, 7, 4]","[2, 5, 5, 3, 3]"
Larry Lord,"[7, 4, 3]","[5, 6, 9]","[1, 5, 5, 4, 1]"
George Milbourn,"[3, 3, 5]","[8, 8, 3]","[5, 5, 3, 4, 4]"
Beverly Boyd,"[1, 3, 1]","[6, 6, 7]","[3, 2, 1, 5, 1]"
Elsie Swaine,"[9, 5, 2]","[3, 9, 3]","[3, 2, 3, 1, 3]"
Ronald Zick,"[6, 4, 2]","[3, 3, 10]","[3, 2, 4, 4, 5]"
Terrence Vineyard,"[10, 9, 10]","[8, 6, 3]","[4, 1, 5, 5, 4]"
Stephanie Castle,"[4, 10, 7]","[1, 4, 7]","[1, 4, 4, 2, 5]"
Timothy Tibbetts,"[1, 2, 7]","[8, 5, 10]","[5, 5, 3, 3, 2]"
Janie Schlottmann,"[8, 4, 5]","[7, 3, 8]","[5, 5, 2, 5, 3]"
Ruth Lewis,"[6, 9, 10]","[7, 8, 3]","[4, 2, 5, 3, 4]"
Joanne Baker,"[7, 9, 7]","[2, 1, 8]","[4, 2, 3, 4, 5]"
Josefina Schackow,"[10, 9, 8]","[1, 5, 7]","[5, 3, 2, 1, 2]"
John Gooden,"[9, 4, 4]","[5, 10, 3]","[4, 4, 1, 1, 2]"
Brian Farley,"[7, 5, 5]","[6, 10, 6]","[1, 4, 2, 5, 1]"
Lourdes Wiand,"[9, 5, 2]","[6, 8, 7]","[4, 5, 4, 4, 3]"
Scott Smith,"[2, 5, 1]","[4, 8, 10]","[2, 5, 2, 4, 1]"
Nicole Kendell,"[3, 8, 7]","[10, 8, 9]","[4, 2, 5, 5, 1]"
Ruth Mclean,"[2, 4, 3]","[7, 4, 3]","[4, 2, 1, 2, 4]"
Wade Venegas,"[6, 10, 6]","[10, 4, 3]","[4, 5, 5, 3, 2]"
Gabriela Moran,"[4, 2, 4]","[6, 8, 7]","[1, 3, 5, 4, 3]"
Timothy Tawwater,"[2, 4, 3]","[2, 9, 9]","[3, 1, 4, 4, 2]"
Jo Jobe,"[7, 1, 4]","[5, 7, 3]","[2, 3, 1, 4, 3]"
Theodore Adams,"[6, 4, 7]","[7, 7, 7]","[5, 5, 4, 2, 3]"
Cristina Grizzel,"[4, 7, 2]","[9, 3, 7]","[3, 5, 2, 3, 1]"
Amy Bradford,"[8, 10, 6]","[6, 6, 4]","[4, 3, 3, 5, 1]"
Enriqueta Kenney,"[5, 1, 2]","[7, 6, 3]","[5, 4, 2, 5, 3]"
John Mccallum,"[5, 5, 4]","[6, 5, 8]","[1, 5, 4, 1, 1]"
Donald Gleason,"[6, 2, 2]","[1, 8, 10]","[4, 3, 4, 3, 2]"
Willie Compton,"[3, 10, 9]","[3, 7, 5]","[2, 4, 5, 1, 5]"
Jeanne Puckett,"[4, 5, 7]","[8, 6, 6]","[5, 1, 3, 5, 4]"
Ray Kinney,"[2, 4, 9]","[2, 8, 4]","[2, 2, 2, 3, 4]"
Del Gottron,"[9, 3, 10]","[9, 6, 8]","[1, 3, 3, 5, 3]"
Tonya Brown,"[4, 10, 5]","[4, 7, 5]","[4, 5, 2, 2, 2]"
Daniel Alexander,"[5, 6, 9]","[1, 8, 10]","[4, 2, 3, 2, 1]"
Marcella Peavy,"[7, 4, 2]","[2, 2, 3]","[3, 2, 3, 5, 1]"
Amelia Henderson,"[4, 2, 7]","[2, 2, 3]","[1, 1, 4, 5, 1]"
Tony Lee,"[6, 9, 9]","[6, 2, 6]","[4, 2, 2, 2, 2]"
Eugene Chaney,"[2, 6, 10]","[6, 10, 4]","[4, 1, 5, 4, 5]"
Bryon Birdsong,"[10, 10, 9]","[10, 9, 2]","[2, 2, 4, 1, 2]"
Susan Porter,"[10, 1, 8]","[5, 1, 8]","[5, 2, 2, 1, 2]"
Jorge Tanenbaum,"[3, 5, 3]","[5, 4, 7]","[4, 4, 3, 1, 1]"
Lorenzo Dupre,"[8, 2, 5]","[5, 6, 8]","[3, 1, 4, 3, 5]"
Michelle Quick,"[1, 1, 10]","[6, 1, 8]","[5, 2, 2, 4, 2]"
Alma Norville,"[5, 6, 4]","[6, 10, 7]","[4, 3, 2, 1, 4]"
David Prickett,"[1, 2, 3]","[5, 8, 4]","[5, 1, 5, 1, 3]"
Ellen Dunston,"[6, 8, 2]","[2, 2, 9]","[2, 2, 4, 4, 2]"
Daniel Stanley,"[8, 8, 9]","[9, 9, 7]","[3, 5, 4, 3, 2]"
Maria Warnack,"[2, 5, 2]","[10, 1, 6]","[5, 5, 5, 3, 4]"
Stephen Campbell,"[1, 4, 3]","[5, 2, 9]","[2, 2, 1, 3, 1]"
Susan Parks,"[9, 2, 10]","[1, 3, 2]","[5, 3, 2, 3, 5]"
Russell Clarke,"[9, 2, 10]","[3, 6, 1]","[3, 3, 5, 5, 5]"
Ryan Blackwood,"[9, 7, 7]","[7, 8, 8]","[3, 4, 1, 2, 5]"
Eileen Kennon,"[6, 4, 5]","[7, 4, 5]","[1, 5, 5, 1, 4]"
Michael Lindsay,"[3, 2, 4]","[6, 10, 5]","[4, 5, 2, 5, 5]"
Paul Lohrenz,"[2, 7, 8]","[4, 5, 1]","[3, 4, 3, 5, 4]"
Paul Freeman,"[5, 2, 7]","[5, 10, 10]","[2, 1, 1, 3, 3]"
Barbara Brown,"[6, 9, 1]","[7, 9, 6]","[1, 3, 3, 5, 4]"
Brenda Garcia,"[10, 6, 4]","[6, 6, 6]","[4, 3, 5, 4, 3]"
Kira Daniels,"[7, 8, 1]","[4, 9, 5]","[4, 3, 1, 4, 4]"
Helene Portillo,"[5, 10, 10]","[1, 9, 4]","[3, 4, 4, 1, 2]"
Rashad Giron,"[5, 8, 6]","[2, 2, 6]","[3, 3, 4, 2, 5]"
Jason Waddell,"[2, 3, 2]","[3, 9, 4]","[4, 3, 3, 2, 4]"
David Proctor,"[9, 2, 10]","[10, 9, 10]","[5, 1, 4, 5, 2]"
Sidney Korth,"[10, 6, 3]","[9, 5, 9]","[5, 4, 5, 2, 1]"
Andrea Daugherty,"[6, 3, 8]","[7, 1, 2]","[4, 1, 1, 4, 4]"
Antoinette Shell,"[1, 10, 10]","[8, 1, 4]","[2, 5, 5, 1, 4]"
Irma Perkins,"[5, 2, 2]","[1, 10, 1]","[2, 1, 4, 3, 5]"
Kenneth Worthington,"[8, 10, 10]","[2, 9, 1]","[2, 2, 5, 3, 3]"
Samantha Turnipseed,"[9, 1, 1]","[5, 9, 7]","[1, 1, 5, 5, 5]"
Brittany Menden,"[2, 4, 9]","[2, 6, 8]","[4, 4, 2, 1, 3]"
Jason Wheeler,"[3, 7, 10]","[3, 1, 3]","[4, 5, 4, 3, 2]"
Mary Rodriquez,"[7, 8, 10]","[4, 9, 2]","[5, 3, 4, 1, 3]"
Luella Black,"[8, 1, 10]","[3, 7, 1]","[4, 1, 1, 2, 4]"
Carl Harris,"[3, 1, 10]","[1, 1, 10]","[2, 5, 5, 4, 5]"
Todd Delgado,"[9, 8, 2]","[2, 4, 8]","[5, 2, 5, 3, 2]"
Abigail Marrero,"[9, 5, 5]","[10, 1, 1]","[2, 4, 5, 1, 5]"
Amos Lavertue,"[8, 9, 6]","[3, 1, 9]","[4, 4, 3, 4, 3]"
Mark Morris,"[10, 4, 10]","[8, 10, 1]","[2, 1, 3, 3, 1]"
Stella Aguilar,"[4, 2, 9]","[3, 6, 9]","[2, 2, 2, 1, 4]"
Madeline Whittingham,"[8, 5, 9]","[10, 2, 3]","[4, 4, 1, 1, 3]"
Paula Wool,"[7, 10, 5]","[10, 5, 9]","[1, 2, 2, 3, 1]"
Alison Davis,"[6, 5, 3]","[5, 10, 9]","[5, 2, 2, 2, 4]"
Cynthia Garcia,"[8, 10, 6]","[10, 5, 4]","[2, 3, 5, 3, 4]"
Gordon Dejesus,"[3, 1, 6]","[5, 10, 6]","[1, 2, 5, 4, 5]"
Shirley Johnson,"[1, 2, 9]","[5, 7, 5]","[2, 5, 4, 3, 4]"
Marie Miller,"[5, 8, 8]","[6, 8, 4]","[5, 1, 2, 5, 4]"
